timestamp,human_readable_date,value,context
1580520617224,2020-02-01 07:00:17,18.2,b'{}'
1580520616224,2020-02-01 07:00:16,18.3,b'{}'
1580520615222,2020-02-01 07:00:15,18.1,b'{}'
1580520615192,2020-02-01 07:00:15,0.0,b'{}'
1580520020263,2020-02-01 06:50:20,18.2,b'{}'
1580520019210,2020-02-01 06:50:19,18.3,b'{}'
1580520018275,2020-02-01 06:50:18,18.1,b'{}'
1580520018253,2020-02-01 06:50:18,0.0,b'{}'
1580519415569,2020-02-01 06:40:15,18.1,b'{}'
1580519414474,2020-02-01 06:40:14,18.3,b'{}'
1580519413597,2020-02-01 06:40:13,18.1,b'{}'
1580519413519,2020-02-01 06:40:13,0.0,b'{}'
1580518216319,2020-02-01 06:20:16,18.1,b'{}'
1580518215352,2020-02-01 06:20:15,18.3,b'{}'
1580518214351,2020-02-01 06:20:14,18.1,b'{}'
1580518214349,2020-02-01 06:20:14,0.0,b'{}'
1580515827294,2020-02-01 05:40:27,18.1,b'{}'
1580515826269,2020-02-01 05:40:26,18.3,b'{}'
1580515825292,2020-02-01 05:40:25,18.1,b'{}'
1580515825234,2020-02-01 05:40:25,0.0,b'{}'
1580515240228,2020-02-01 05:30:40,18.2,b'{}'
1580515239153,2020-02-01 05:30:39,18.3,b'{}'
1580515238165,2020-02-01 05:30:38,18.1,b'{}'
1580515238145,2020-02-01 05:30:38,0.0,b'{}'
1580513420325,2020-02-01 05:00:20,18.2,b'{}'
1580513419302,2020-02-01 05:00:19,18.3,b'{}'
1580513418348,2020-02-01 05:00:18,0.0,b'{}'
1580513418318,2020-02-01 05:00:18,18.1,b'{}'
1580513053926,2020-02-01 04:54:13,18.2,b'{}'
1580513052981,2020-02-01 04:54:12,18.3,b'{}'
1580513051954,2020-02-01 04:54:11,0.0,b'{}'
1580513051887,2020-02-01 04:54:11,18.2,b'{}'
1580512948857,2020-02-01 04:52:28,18.2,b'{}'
1580512948041,2020-02-01 04:52:28,18.3,b'{}'
1580512946922,2020-02-01 04:52:26,18.2,b'{}'
1580512946870,2020-02-01 04:52:26,0.0,b'{}'
1580512848659,2020-02-01 04:50:48,18.2,b'{}'
1580512847703,2020-02-01 04:50:47,18.3,b'{}'
1580512846627,2020-02-01 04:50:46,18.2,b'{}'
1580512846625,2020-02-01 04:50:46,0.0,b'{}'
1580511631061,2020-02-01 04:30:31,18.2,b'{}'
1580511630105,2020-02-01 04:30:30,18.3,b'{}'
1580511629096,2020-02-01 04:30:29,18.2,b'{}'
1580511629038,2020-02-01 04:30:29,0.0,b'{}'
1580506222176,2020-02-01 03:00:22,18.3,b'{}'
1580506221111,2020-02-01 03:00:21,18.3,b'{}'
1580506220235,2020-02-01 03:00:20,18.2,b'{}'
